shipment_id,origin,destination,transport_mode,shipment_date,planned_delivery_days,actual_delivery_days,month,season,weather_risk_score,customs_complexity_score,port_congestion_level,supplier_reliability_score,delay_days,delay_category,trade_value_usd,commodity_type,is_peak_season,high_customs_risk,high_congestion,unreliable_supplier,route_length_category,composite_risk_score
SH0001,Chennai,Bangalore,Rail,2024-09-27,1,13,9,Fall,0.232,9.3,3.5,0.907,12,Major Delay,10019.06732764088,Textiles,0,1,1,0,Short,3.7346500000000002
SH0002,Chennai,Bangalore,Rail,2024-01-21,1,1,1,Winter,0.222,2.98,0.28,0.678,0,On-Time,38548.727605106265,Electronics,1,0,0,1,Short,1.0889
SH0003,Shenzhen,Long Beach,Maritime,2024-02-19,16,16,2,Winter,0.064,3.93,0.09,0.872,0,On-Time,14021.462306560396,Machinery,1,0,0,0,Medium,1.2463
SH0004,Mumbai,Felixstowe,Maritime,2024-10-06,18,21,10,Fall,0.133,5.07,1.48,0.928,3,Minor Delay,13851.951943351743,Food,0,1,0,0,Long,1.9356000000000002
SH0005,Hamburg,Charleston,Maritime,2024-06-20,13,16,6,Summer,0.359,6.53,1.47,0.994,3,Minor Delay,75572.95473504023,Chemicals,1,1,0,0,Medium,2.3998000000000004
SH0006,Mumbai,Felixstowe,Maritime,2024-08-18,18,18,8,Summer,0.547,1.65,1.65,0.759,0,On-Time,35304.62816420152,Textiles,1,0,0,0,Long,1.0771499999999998
SH0007,Paris,Lyon,Rail,2024-08-18,1,1,8,Summer,0.191,0.92,0.76,0.894,0,On-Time,86883.76613164878,Textiles,1,0,0,0,Short,0.5307
SH0008,Delhi,Mumbai,Rail,2024-06-08,2,2,6,Summer,0.52,0.43,0.04,0.889,0,On-Time,22156.9380493767,Electronics,1,0,0,0,Short,0.27075000000000005
SH0009,Shanghai,Los Angeles,Maritime,2024-05-05,14,18,5,Spring,0.387,7.24,1.3,0.702,4,Major Delay,177813.16269687662,Chemicals,0,1,0,0,Medium,2.6489000000000003
SH0010,Shenzhen,Long Beach,Maritime,2024-05-26,16,33,5,Spring,0.18,7.71,1.33,0.591,17,Major Delay,39917.13303543119,Textiles,0,1,0,1,Medium,2.78375
SH0011,Frankfurt,Berlin,Rail,2024-04-08,1,1,4,Spring,0.389,3.27,1.28,0.975,0,On-Time,49484.452206294365,Food,0,0,0,0,Short,1.3850500000000001
SH0012,Hamburg,Charleston,Maritime,2024-09-20,13,24,9,Fall,0.076,8.67,0.22,0.618,11,Major Delay,105699.63857650112,Textiles,0,1,0,1,Medium,2.7667
SH0013,Rotterdam,New York,Maritime,2024-10-07,12,15,10,Fall,0.327,8.36,0.39,0.634,3,Minor Delay,3733.500587438696,Chemicals,0,1,0,1,Medium,2.7623999999999995
SH0014,Hamburg,Charleston,Maritime,2024-05-22,13,13,5,Spring,0.322,1.58,0.78,0.967,0,On-Time,10851.973168864984,Chemicals,0,0,0,0,Medium,0.74165
SH0015,Mumbai,Felixstowe,Maritime,2024-09-20,18,18,9,Fall,0.37,1.01,0.76,0.853,0,On-Time,1056.045045429952,Electronics,0,0,0,0,Long,0.60375
SH0016,Kolkata,Delhi,Rail,2024-10-01,3,12,10,Fall,0.376,9.73,0.29,0.859,9,Major Delay,42861.49469106164,Chemicals,0,1,0,0,Short,3.10195
SH0017,Paris,Lyon,Rail,2024-02-08,1,8,2,Winter,0.209,2.2,2.18,0.729,7,Major Delay,30960.777852692576,Textiles,1,0,1,0,Short,1.3145499999999999
SH0018,Mumbai,Felixstowe,Maritime,2024-09-24,18,18,9,Fall,0.202,1.97,1.86,0.829,0,On-Time,37911.92054662652,Food,0,0,0,0,Long,1.13915
SH0019,Frankfurt,Berlin,Rail,2024-06-12,1,8,6,Summer,0.281,5.17,0.47,0.619,7,Major Delay,15385.223321653284,Chemicals,1,1,0,1,Short,1.81995
SH0020,Frankfurt,Berlin,Rail,2024-03-16,1,7,3,Spring,0.382,4.07,0.09,0.909,6,Major Delay,35838.480684035174,Textiles,0,1,0,0,Short,1.3426500000000001
SH0021,Rotterdam,New York,Maritime,2024-08-26,12,24,8,Summer,0.445,8.21,1.21,0.764,12,Major Delay,13995.815021660248,Chemicals,1,1,0,0,Medium,2.9135
SH0022,Paris,Lyon,Rail,2024-05-27,1,2,5,Spring,0.235,1.62,3.27,0.844,1,Minor Delay,24452.28622773273,Textiles,0,0,1,0,Short,1.3895
SH0023,Mumbai,Felixstowe,Maritime,2024-06-12,18,24,6,Summer,0.41,4.79,0.61,0.685,6,Major Delay,910.6479813559473,Machinery,1,1,0,1,Long,1.7502500000000003
SH0024,Mumbai,Felixstowe,Maritime,2024-02-10,18,18,2,Winter,0.226,3.21,0.92,0.834,0,On-Time,275688.6551498997,Electronics,1,0,0,0,Long,1.2797
SH0025,Rotterdam,New York,Maritime,2024-01-10,12,22,1,Winter,0.278,4.16,3.5,0.767,10,Major Delay,141029.51419111586,Electronics,1,1,1,0,Medium,2.2368500000000004
SH0026,Hamburg,Charleston,Maritime,2024-06-21,13,13,6,Summer,0.071,1.62,0.73,0.649,0,On-Time,24374.132905245195,Food,1,0,0,1,Medium,0.77045
SH0027,Frankfurt,Berlin,Rail,2024-04-21,1,1,4,Spring,0.157,3.46,0.81,0.88,0,On-Time,14840.829793201503,Machinery,0,0,0,0,Short,1.3019
SH0028,Hamburg,Charleston,Maritime,2024-03-21,13,13,3,Spring,0.568,3.19,0.68,0.965,0,On-Time,4222.244521344118,Electronics,0,0,0,0,Medium,1.24935
